dataset_id,branch,status,role,version,official_url,doi,licence,real_camera,planned_action,notes
barber,structural,account_required,auxiliary_clean,2024,https://ditto.ing.unimore.it/barber/,10.1007/978-3-031-78447-7_13,verify_component_licences,true,register_then_download,"Filter annotation Type=QR Code; do not duplicate component datasets"
qrdn,structural,downloaded_verified_prepared,train_clean_and_external_holdout,2,https://data.mendeley.com/datasets/t2bdr663ms/2,10.17632/t2bdr663ms.2,CC BY 4.0,true,use_official_group_split,"2026-08-21: archive SHA verified; 4500 train/2250 test rows; 50/25 disjoint QR identities; capture noise is not tampering"
qr_surfaces,structural,downloaded_verified_prepared,auxiliary_train_clean,1,https://data.mendeley.com/datasets/m6mfwc52vk/1,10.17632/m6mfwc52vk.1,CC BY 4.0,true,use_auxiliary_train_only,"2026-08-21: archive SHA verified; 67/92 real photographs rectified; all share one QR bitmap so none are independent test rows"
dynamsoft,structural,downloaded_verified_prepared_quarantined,acquisition_holdout_only,main,https://github.com/Dynamsoft/datasets-from-dynamsoft,,no_repository_licence,true,holdout_only,"2026-08-21: 73 selected blobs/90378510 bytes Git-SHA verified; 232 challenging-image crops and 1 video crop accepted; no training or class metrics without licence and QRGuard labels"
boofcv_qr,structural,public,independent_holdout,current,https://boofcv.org/index.php?title=Performance%3AQrCode,,verify_before_use,true,download_holdout,"Never tune on this challenge set"
oqr,structural,artifact_available,adversarial_templates,2026,https://www.usenix.org/conference/usenixsecurity26/presentation/garg-pulkit,,verify_artifact,false,obtain_templates_then_recapture,"Generated templates require QRGuard print/display recapture"
sensors_forged,structural,author_request,auxiliary_tampered,2025,https://www.mdpi.com/1424-8220/25/13/3855,10.3390/s25133855,request_from_author,true,request_access,"Secure/watermarked QR domain differs from ordinary QRGuard samples"
qrguard_runtime,structural,collection_required,primary_runtime,current,local://data/runtime_captures,,project_internal,true,collect_exact_app_crops,"Required for deployment gate; minimum 100 sessions per class"
phiusiil,semantic,available,train,967,https://archive.ics.uci.edu/dataset/967/phiusiil+phishing+url+dataset,10.1016/j.cose.2023.103545,CC BY 4.0,false,audit_existing,"UCI source; confirm QRGuard label remapping"
malicious_urls,semantic,available,train,current,https://www.kaggle.com/datasets/sid321axn/malicious-urls-dataset,,Kaggle terms,false,audit_existing,"Provenance weaker than UCI; preserve source tag and test per-source"
tranco,semantic,available,benign_augmentation,current,https://tranco-list.eu/,10.14722/ndss.2019.23386,research list terms,false,audit_existing,"Persist exact list identifier/date rather than calling it timeless"
