session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
e48afaf002a4c537ba66cf41,PHY-ADV-F-01,adversarial,screen-80,1,5,3,3,3,428,476,median_score_majority_class,marginal,overexposure;normal,0.865184485912323,0.865184485912323,adversarial,blocked,correct,308
14911f988ab9112325b24ef9,PHY-ADV-F-02,adversarial,screen-80,1,5,3,3,3,419,446,median_score_majority_class,usable,normal,0.9775415062904358,0.9775415062904358,adversarial,blocked,correct,105
ee575b94dd417cc1de336e90,PHY-ADV-F-03,adversarial,screen-80,1,5,3,3,3,472,510,median_score_majority_class,usable,normal,0.9916918873786926,0.9916918873786926,adversarial,blocked,correct,106
14a51b25f37c869380c4b4b0,PHY-ADV-F-04,adversarial,screen-80,1,5,3,3,3,518,548,median_score_majority_class,marginal,overexposure;normal,0.9998799562454224,0.9998799562454224,adversarial,blocked,correct,113
5a2b999e28a790d6018cd71e,PHY-ADV-F-05,adversarial,screen-80,1,5,3,3,3,443,598,median_score_majority_class,marginal,overexposure,0.998776912689209,0.998776912689209,adversarial,blocked,correct,123
120e231314e877e3864d2937,PHY-ADV-F-06,adversarial,screen-80,1,5,3,3,3,465,497,median_score_majority_class,marginal,overexposure,0.9993137121200562,0.9993137121200562,adversarial,blocked,correct,116
b4a0ee0fdb17b6e978cd9e36,PHY-ADV-F-07,adversarial,screen-80,1,5,3,3,3,518,535,median_score_majority_class,marginal,overexposure,0.9997979998588562,0.9997979998588562,adversarial,blocked,correct,123
d56861ffbb51444da0c3df76,PHY-ADV-F-08,adversarial,screen-80,1,5,3,3,3,427,435,median_score_majority_class,marginal,overexposure,0.9580588340759277,0.9580588340759277,adversarial,blocked,correct,112
ad6d001ec93f123a0ae8b542,PHY-ADV-F-09,adversarial,screen-80,1,5,3,3,3,524,527,median_score_majority_class,usable,normal,0.9999980926513672,0.9999980926513672,adversarial,blocked,correct,108
92d1b7f85c10858d37c0885c,PHY-ADV-F-10,adversarial,screen-80,1,5,3,3,3,435,439,median_score_majority_class,marginal,overexposure,0.999038815498352,0.999038815498352,adversarial,blocked,correct,113
5a44e53dfbd783a59949c04d,PHY-ADV-F-11,adversarial,screen-80,1,5,3,3,3,533,535,median_score_majority_class,usable,normal,0.9999630451202393,0.9999630451202393,adversarial,blocked,correct,108
9f3a0aca094081127921113a,PHY-ADV-F-12,adversarial,screen-80,1,5,3,3,3,453,455,median_score_majority_class,usable,normal,0.9999322891235352,0.9999322891235352,adversarial,blocked,correct,105
f164f580cee4c779ae250031,PHY-ADV-F-13,adversarial,screen-80,1,5,3,3,3,486,495,median_score_majority_class,marginal,overexposure,0.9999974966049194,0.9999974966049194,adversarial,blocked,correct,117
da7f532a0275b0bf2fa4eaeb,PHY-ADV-F-14,adversarial,screen-80,1,5,3,3,3,396,398,median_score_majority_class,marginal,normal;overexposure,0.9997360110282898,0.9997360110282898,adversarial,blocked,correct,109
99dabb4850f08fce2483895d,PHY-ADV-F-15,adversarial,screen-80,1,5,3,3,3,505,510,median_score_majority_class,marginal,normal;overexposure,0.9999943971633911,0.9999943971633911,adversarial,blocked,correct,112
7371c0ec10d35d8d952ea048,PHY-ADV-F-16,adversarial,screen-80,1,5,3,3,3,489,495,median_score_majority_class,usable,normal,0.9999692440032959,0.9999692440032959,adversarial,blocked,correct,109
84b2273a40053eef995cafa1,PHY-ADV-X-01,adversarial,screen-80,1,5,3,3,3,382,430,median_score_majority_class,marginal,overexposure,0.9994165897369385,0.9994165897369385,adversarial,blocked,correct,114
c6136635f3b15bde30524432,PHY-ADV-X-02,adversarial,screen-80,1,5,3,3,3,405,461,median_score_majority_class,usable,normal,0.999512791633606,0.999512791633606,adversarial,blocked,correct,105
7eee8ebe69f22c1f81b3b9f2,PHY-ADV-X-03,adversarial,screen-80,1,5,3,3,3,433,479,median_score_majority_class,marginal,overexposure,0.9996703863143921,0.9996703863143921,adversarial,blocked,correct,115
4cc9de7a3fa1cde3fc56521b,PHY-ADV-X-04,adversarial,screen-80,1,5,3,3,3,460,494,median_score_majority_class,marginal,overexposure,0.9987308382987976,0.9987308382987976,adversarial,blocked,correct,116
95da13fc1a85ef8f70b5dbc4,PHY-ADV-X-05,adversarial,screen-80,1,5,3,3,3,445,509,median_score_majority_class,marginal,overexposure,0.9997972249984741,0.9997972249984741,adversarial,blocked,correct,117
949fe4f8c307ffe7af7086b9,PHY-ADV-X-06,adversarial,screen-80,1,5,3,3,3,455,474,median_score_majority_class,marginal,overexposure;normal,0.9998559951782227,0.9998559951782227,adversarial,blocked,correct,109
372cc1363d14630ba06bb26c,PHY-ADV-X-07,adversarial,screen-80,1,5,3,3,3,398,404,median_score_majority_class,marginal,overexposure,0.9997686743736267,0.9997686743736267,adversarial,blocked,correct,111
d152f343c97cd496d459f8b7,PHY-ADV-X-08,adversarial,screen-80,1,5,3,3,3,516,520,median_score_majority_class,marginal,normal;overexposure,0.9994471669197083,0.9994471669197083,adversarial,blocked,correct,113
79fb83f73ce91640c8d12373,PHY-ADV-X-09,adversarial,screen-80,1,5,3,3,3,548,565,median_score_majority_class,usable,normal,0.9999877214431763,0.9999877214431763,adversarial,blocked,correct,108
57a7cc369c50903310b1ceae,PHY-ADV-X-10,adversarial,screen-80,1,5,3,3,3,502,531,median_score_majority_class,usable,normal,0.9999710917472839,0.9999710917472839,adversarial,blocked,correct,108
389b605c2e39866cc5a9ee81,PHY-ADV-X-11,adversarial,screen-80,1,5,3,3,3,441,474,median_score_majority_class,marginal,overexposure,0.9992365837097168,0.9992365837097168,adversarial,blocked,correct,115
d8dc9f13c43a3ad144c2c5c4,PHY-ADV-X-12,adversarial,screen-80,1,5,3,3,3,596,688,median_score_majority_class,usable,normal,0.9999990463256836,0.9999990463256836,adversarial,blocked,correct,111
76d7c0b78b6ba9cbc05ffd95,PHY-ADV-X-13,adversarial,screen-80,1,5,3,3,3,476,499,median_score_majority_class,usable,normal,0.9999966621398926,0.9999966621398926,adversarial,blocked,correct,108
085ead1f139dd3b1773b9e6e,PHY-ADV-X-14,adversarial,screen-80,1,5,3,3,3,411,427,median_score_majority_class,usable,normal,0.9998670816421509,0.9998670816421509,adversarial,blocked,correct,105
bc63c5fabefce163620c1104,PHY-ADV-X-15,adversarial,screen-80,1,5,3,3,3,551,568,median_score_majority_class,usable,normal,0.9999850392341614,0.9999850392341614,adversarial,blocked,correct,109
75f420838068f474e1947521,PHY-ADV-X-16,adversarial,screen-80,1,5,3,3,3,543,572,median_score_majority_class,usable,normal,0.999994695186615,0.999994695186615,adversarial,blocked,correct,108
43f6e863cd9d3801f66ede2d,PHY-CLN-01,clean,screen-80,1,5,3,3,3,419,476,median_score_majority_class,marginal,overexposure,0.1757868528366089,0.1757868528366089,clean,safe,correct,113
1990f35b1c313501d6f0d0c6,PHY-CLN-02,clean,screen-80,1,5,3,3,3,522,575,median_score_majority_class,usable,normal,0.003431081771850586,0.003431081771850586,clean,safe,correct,109
3c1676116c09073a63451262,PHY-CLN-03,clean,screen-80,1,5,3,3,3,428,469,median_score_majority_class,usable,normal,0.0023308396339416504,0.0023308396339416504,clean,safe,correct,105
3b5b75bd6b55beb174ced998,PHY-CLN-04,clean,screen-80,1,5,3,3,3,435,459,median_score_majority_class,usable,normal,0.0014564990997314453,0.0014564990997314453,clean,safe,correct,105
0272c99e4dbcc0038fb85ffb,PHY-CLN-05,clean,screen-80,1,5,3,3,3,432,469,median_score_majority_class,marginal,overexposure,0.008256852626800537,0.008256852626800537,clean,safe,correct,114
4e3c2d2baad67634688eaa12,PHY-CLN-06,clean,screen-80,1,5,3,3,3,453,481,median_score_majority_class,usable,normal,0.0006868839263916016,0.0006868839263916016,clean,safe,correct,106
640d072c631a01dd6f23a157,PHY-CLN-07,clean,screen-80,1,5,3,3,3,466,491,median_score_majority_class,marginal,overexposure,0.0017368197441101074,0.0017368197441101074,clean,safe,correct,115
094828b66a9b3b9db206d98a,PHY-CLN-08,clean,screen-80,1,5,3,3,3,509,519,median_score_majority_class,usable,normal,0.0024202466011047363,0.0024202466011047363,clean,safe,correct,107
b40fbb2ae363a781e4097877,PHY-CLN-09,clean,screen-80,1,5,3,3,3,478,497,median_score_majority_class,usable,normal,0.001877129077911377,0.001877129077911377,clean,safe,correct,106
7185df577a76aac68c76fdc4,PHY-CLN-10,clean,screen-80,1,5,3,3,3,525,528,median_score_majority_class,usable,normal,0.0011770129203796387,0.0011770129203796387,clean,safe,correct,109
606e11c274a2f516804676c9,PHY-CLN-11,clean,screen-80,1,5,3,3,3,543,548,median_score_majority_class,usable,normal,0.002346813678741455,0.002346813678741455,clean,safe,correct,110
afb780dcf29197132c81f3f9,PHY-CLN-12,clean,screen-80,1,5,3,3,3,495,509,median_score_majority_class,marginal,overexposure;normal,0.003030717372894287,0.003030717372894287,clean,safe,correct,114
fac83d709ef994fb906bcf82,PHY-CLN-13,clean,screen-80,1,5,3,3,3,493,500,median_score_majority_class,usable,normal,0.0014170408248901367,0.0014170408248901367,clean,safe,correct,105
5ef255664c07b2b50c021d2b,PHY-CLN-14,clean,screen-80,1,5,3,3,3,461,502,median_score_majority_class,usable,normal,0.0031790733337402344,0.0031790733337402344,clean,safe,correct,106
fcde7d3af6dc84b44aa99b68,PHY-CLN-15,clean,screen-80,1,5,3,3,3,502,513,median_score_majority_class,usable,normal,0.0019828081130981445,0.0019828081130981445,clean,safe,correct,107
fed385cfbbca536bdcb7709c,PHY-CLN-16,clean,screen-80,1,5,3,3,3,515,549,median_score_majority_class,usable,normal,0.002940356731414795,0.002940356731414795,clean,safe,correct,108
