session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
3ce15651d9585b95df4889f0,ATK-CAL-CLN-01,clean,screen-80,1,5,3,3,3,443,453,median_score_majority_class,usable,normal,0.010830461978912354,0.010830461978912354,clean,safe,correct,505
e833c4000f74197f0a4225ff,ATK-CAL-CLN-02,clean,screen-80,1,5,3,3,3,617,631,median_score_majority_class,usable,normal,0.011234521865844727,0.011234521865844727,clean,safe,correct,149
060c101bfc84e8e8da9dfe42,ATK-CAL-CLN-03,clean,screen-80,1,5,3,3,3,414,550,median_score_majority_class,usable,normal,0.03435969352722168,0.03435969352722168,clean,safe,correct,137
080e182dae7f847f0ebba76b,ATK-CAL-CLN-04,clean,screen-80,1,5,3,3,3,466,478,median_score_majority_class,usable,normal,0.05181574821472168,0.05181574821472168,clean,safe,correct,126
bb7015fa010f84a6e4da7b60,ATK-CAL-CLN-05,clean,screen-80,1,5,3,3,3,361,380,median_score_majority_class,usable,normal,0.06324082612991333,0.06324082612991333,clean,safe,correct,118
886176e5e88d5c98ecb9d676,ATK-CAL-CLN-06,clean,screen-80,1,5,3,3,3,483,508,median_score_majority_class,usable,normal,0.0759047269821167,0.0759047269821167,clean,safe,correct,128
a841c71c8b671873ddef5e47,ATK-CAL-CLN-07,clean,screen-80,1,5,3,3,3,461,494,median_score_majority_class,usable,normal,0.01173555850982666,0.01173555850982666,clean,safe,correct,128
376e9f98a386ebf935abd8cb,ATK-CAL-CLN-08,clean,screen-80,1,5,3,3,3,522,610,median_score_majority_class,usable,normal,0.030899107456207275,0.030899107456207275,clean,safe,correct,135
67ab86fefb5d7a9d8cbb5b52,ATK-CAL-CLN-09,clean,screen-80,1,5,3,3,3,435,462,median_score_majority_class,usable,normal,0.03611677885055542,0.03611677885055542,clean,safe,correct,459
2ccee6222e9f2cefce7d521f,ATK-CAL-CLN-10,clean,screen-80,1,5,3,3,3,538,565,median_score_majority_class,usable,normal,0.042500078678131104,0.042500078678131104,clean,safe,correct,199
4cc072540d5e9e6d199809bd,ATK-CAL-CLN-11,clean,screen-80,1,5,3,3,3,519,528,median_score_majority_class,usable,normal,0.0033272504806518555,0.0033272504806518555,clean,safe,correct,134
bd9fa3bafd1a4f977b732a38,ATK-CAL-CLN-12,clean,screen-80,1,5,3,3,3,428,462,median_score_majority_class,usable,normal,0.0035665035247802734,0.0035665035247802734,clean,safe,correct,126
f70ec748a58cd4848e15604c,ATK-CAL-CLN-13,clean,screen-80,1,5,3,3,3,523,531,median_score_majority_class,usable,normal,0.003813445568084717,0.003813445568084717,clean,safe,correct,279
94370569ca43af97a3ebb130,ATK-CAL-CLN-14,clean,screen-80,1,5,3,3,3,495,513,median_score_majority_class,usable,normal,0.003062605857849121,0.003062605857849121,clean,safe,correct,885
85f8d3bbebdfcf5a2e7c0fc9,ATK-CAL-CLN-15,clean,screen-80,1,5,3,3,3,509,516,median_score_majority_class,usable,normal,0.005671679973602295,0.005671679973602295,clean,safe,correct,134
d2076e99a51700c05533e182,ATK-CAL-CLN-16,clean,screen-80,1,5,3,3,3,549,560,median_score_majority_class,usable,normal,0.00155562162399292,0.00155562162399292,clean,safe,correct,139
63876589950d5a6d4894ae1e,ATK-CAL-CLN-17,clean,screen-80,1,5,3,3,3,566,569,median_score_majority_class,usable,normal,0.001654505729675293,0.001654505729675293,clean,safe,correct,138
a8e42952ad94868cff0d30dd,ATK-CAL-CLN-18,clean,screen-80,1,5,3,3,3,547,558,median_score_majority_class,usable,normal,0.0008560419082641602,0.0008560419082641602,clean,safe,correct,137
21bfd9db4aa540509b26840f,ATK-CAL-CLN-19,clean,screen-80,1,5,3,3,3,501,526,median_score_majority_class,usable,normal,0.000908970832824707,0.000908970832824707,clean,safe,correct,130
f2fcf6a498908c550d1a484e,ATK-CAL-CLN-20,clean,screen-80,1,5,3,3,3,491,504,median_score_majority_class,usable,normal,0.000806272029876709,0.000806272029876709,clean,safe,correct,130
f80c62ff11a0404257113c3e,ATK-CAL-CLN-21,clean,screen-80,1,5,3,3,3,528,545,median_score_majority_class,usable,normal,0.0018718838691711426,0.0018718838691711426,clean,safe,correct,135
feed6e940dc56e14b2f9aa04,ATK-CAL-CLN-22,clean,screen-80,1,5,3,3,3,550,567,median_score_majority_class,usable,normal,0.00044804811477661133,0.00044804811477661133,clean,safe,correct,764
7d414d6cd6a2824f6edec3d1,ATK-CAL-CLN-23,clean,screen-80,1,5,3,3,3,509,515,median_score_majority_class,usable,normal,0.0002962946891784668,0.0002962946891784668,clean,safe,correct,318
e11e64e5069453eb32a88e01,ATK-CAL-CLN-24,clean,screen-80,1,5,3,3,3,534,538,median_score_majority_class,usable,normal,0.00045162439346313477,0.00045162439346313477,clean,safe,correct,731
caad5fd141610ff97284ff5c,ATK-CAL-F-01,adversarial,screen-80,1,5,3,3,3,417,510,median_score_majority_class,usable,normal,0.9848315119743347,0.9848315119743347,adversarial,blocked,correct,131
9efda2ffd4776c66052ef8a4,ATK-CAL-F-05,adversarial,screen-80,1,5,3,3,3,443,446,median_score_majority_class,usable,normal,0.9895989894866943,0.9895989894866943,adversarial,blocked,correct,124
bf0f92e8105b47f19823d8bb,ATK-CAL-F-06,adversarial,screen-80,1,5,3,3,3,430,440,median_score_majority_class,usable,normal,0.9968655109405518,0.9968655109405518,adversarial,blocked,correct,122
b9760da15c6dad4c086d4bf1,ATK-CAL-F-07,adversarial,screen-80,1,5,3,3,3,442,460,median_score_majority_class,usable,normal,0.974705696105957,0.974705696105957,adversarial,blocked,correct,126
89a0e31754be5d8baaf78ff3,ATK-CAL-F-09,adversarial,screen-80,1,5,3,3,3,493,507,median_score_majority_class,usable,normal,0.9917004108428955,0.9917004108428955,adversarial,blocked,correct,132
07a310a81c0eb67cbee86526,ATK-CAL-F-13,adversarial,screen-80,1,5,3,3,3,414,425,median_score_majority_class,usable,normal,0.978377103805542,0.978377103805542,adversarial,blocked,correct,120
2923e6467df9970ecdb54161,ATK-CAL-F-15,adversarial,screen-80,1,5,3,3,3,446,451,median_score_majority_class,usable,normal,0.9964452981948853,0.9964452981948853,adversarial,blocked,correct,123
2b21f8451e79fb59c32ed460,ATK-CAL-F-22,adversarial,screen-80,1,5,3,3,3,436,454,median_score_majority_class,usable,normal,0.9860086441040039,0.9860086441040039,adversarial,blocked,correct,168
1c60ea18fb979573221b1edc,ATK-CAL-F-23,adversarial,screen-80,1,5,3,3,3,530,575,median_score_majority_class,usable,normal,0.9992730021476746,0.9992730021476746,adversarial,blocked,correct,264
0822230f742def2a33d003e5,ATK-CAL-F-24,adversarial,screen-80,1,5,3,3,0,416,428,insufficient_quality,unusable,insufficient_module_scale,,,abstained,warning,rescan,55
a6816dd41c6ae7ffb57f08c0,ATK-CAL-X-01,adversarial,screen-80,1,5,3,3,3,412,437,median_score_majority_class,usable,normal,0.944348931312561,0.944348931312561,adversarial,blocked,correct,122
51960c81c2426abe7642fbd5,ATK-CAL-X-02,adversarial,screen-80,1,5,3,3,3,471,494,median_score_majority_class,usable,normal,0.9822447299957275,0.9822447299957275,adversarial,blocked,correct,128
1e08e52d5b3a28ed4cfa759e,ATK-CAL-X-05,adversarial,screen-80,1,5,3,3,3,433,483,median_score_majority_class,usable,normal,0.9942757487297058,0.9942757487297058,adversarial,blocked,correct,127
c4b71cc2092bcdf815989aeb,ATK-CAL-X-07,adversarial,screen-80,1,5,3,3,3,463,489,median_score_majority_class,marginal,normal;overexposure,0.9932879209518433,0.9932879209518433,adversarial,blocked,correct,134
989d018981deb46730dc44fa,ATK-CAL-X-09,adversarial,screen-80,1,5,3,3,3,394,416,median_score_majority_class,marginal,normal;overexposure,0.9903860092163086,0.9903860092163086,adversarial,blocked,correct,124
bbb51aa63f02b4832413756e,ATK-CAL-X-10,adversarial,screen-80,1,5,3,3,3,272,361,median_score_majority_class,usable,normal,0.9963278770446777,0.9963278770446777,adversarial,blocked,correct,118
e031b38d55635044800ae570,ATK-CAL-X-13,adversarial,screen-80,1,5,3,3,3,392,397,median_score_majority_class,marginal,normal;overexposure,0.9866842031478882,0.9866842031478882,adversarial,blocked,correct,122
fb920af3a00390853bf13799,ATK-CAL-X-15,adversarial,screen-80,1,5,3,3,3,405,419,median_score_majority_class,marginal,normal;overexposure,0.9970968961715698,0.9970968961715698,adversarial,blocked,correct,123
4241aefb404f13eabf62aefb,ATK-CAL-X-16,adversarial,screen-80,1,5,3,3,3,462,472,median_score_majority_class,marginal,normal;overexposure,0.9805928468704224,0.9805928468704224,adversarial,blocked,correct,131
44216eaa53e085dfef270ca8,ATK-CAL-X-19,adversarial,screen-80,1,5,3,3,3,410,421,median_score_majority_class,usable,normal,0.9973760843276978,0.9973760843276978,adversarial,blocked,correct,165
96b0778d83163337f18fca3e,ATK-CAL-X-20,adversarial,screen-80,1,5,3,3,3,507,538,median_score_majority_class,usable,normal,0.9832471013069153,0.9832471013069153,adversarial,blocked,correct,132
04c1b4665d3ca71fb587ea03,ATK-CAL-X-21,adversarial,screen-80,1,5,3,3,3,479,512,median_score_majority_class,usable,normal,0.9981471300125122,0.9981471300125122,adversarial,blocked,correct,227
6222b9569ef104aea338974b,ATK-CAL-X-22,adversarial,screen-80,1,5,3,3,3,493,509,median_score_majority_class,usable,normal,0.8964425325393677,0.8964425325393677,adversarial,blocked,correct,202
83d31cbedbaa417a311623a0,ATK-CAL-X-23,adversarial,screen-80,1,5,3,3,3,507,559,median_score_majority_class,usable,normal,0.9562829732894897,0.9562829732894897,adversarial,blocked,correct,134
8a43409db065b969c2f523fa,ATK-CAL-X-24,adversarial,screen-80,1,5,3,3,0,425,430,insufficient_quality,unusable,insufficient_module_scale,,,abstained,warning,rescan,57
