session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
bac432e4a94f2498d7c1f22d,ACQ-CLN-V10-LONG,clean,screen-100-brightness-100,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0013804435729980469,0.0004448890686035156,True
7ff73f637adfb95e27cef952,ACQ-CLN-V10-LONG,clean,screen-100-brightness-30,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0014781355857849121,0.0006606578826904297,True
cf354e76f50c01037f29eb39,ACQ-CLN-V10-LONG,clean,screen-80-brightness-50,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0015230774879455566,0.0008131265640258789,True
9d08142c58baad4e6e56b221,ACQ-CLN-V14-LONG,clean,screen-100-brightness-100,1,5,5,1,1,4,0,5,0,warning,warning,safe,26.0,0.0025140047073364258,0.0008292198181152344,True
5513973a67f721dcc4444595,ACQ-CLN-V14-LONG,clean,screen-100-brightness-30,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.0024533867835998535,0.0012119412422180176,True
4557a7d4ca821149d4e8cf00,ACQ-CLN-V14-LONG,clean,screen-80-brightness-50,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.002058088779449463,0.0005183219909667969,True
aa6c2d50e262633f0bf139f7,SEM-05-USERINFO,clean,screen-100-brightness-100,1,5,5,5,0,0,5,5,0,blocked,blocked,blocked,79.0,0.0019319653511047363,0.0007159113883972168,True
8f395c5d4d608380c4ffe623,SEM-05-USERINFO,clean,screen-100-brightness-30,1,5,5,1,0,4,1,5,0,blocked,warning,safe,26.0,0.0015175938606262207,0.0006403923034667969,True
9aeb437c63e35d33c0a0d6c5,SEM-05-USERINFO,clean,screen-80-brightness-50,1,5,5,4,0,1,4,5,0,blocked,blocked,blocked,79.0,0.0014396309852600098,0.000690460205078125,True
629ddc44367e44cabaf6577d,SEM-11-PLAIN-TEXT,clean,screen-100-brightness-100,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.002595841884613037,0.004557311534881592,True
b453a5dd57e26c807cd3332f,SEM-11-PLAIN-TEXT,clean,screen-100-brightness-30,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0008667111396789551,0.005880296230316162,True
b31e97bef97de787a96d3f59,SEM-11-PLAIN-TEXT,clean,screen-80-brightness-50,1,5,5,4,4,1,0,5,0,warning,safe,safe,1.0,0.005667328834533691,0.00472259521484375,True
0658dbec35216a4100f0ffe9,STR-ADV-NORMAL,adversarial,screen-100-brightness-100,1,5,4,0,0,1,4,0,4,blocked,blocked,blocked,79.0,0.9060123562812805,0.1352982521057129,True
1f365a8072b9272580ccc0e8,STR-ADV-NORMAL,adversarial,screen-100-brightness-30,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,84.0,0.9271052479743958,0.1379956603050232,True
bfdf9b03f8c623fa7fe87c23,STR-ADV-NORMAL,adversarial,screen-80-brightness-50,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,86.0,0.9507156610488892,0.05709636211395264,True
bba015a905fa3e4ee4e0d0f9,STR-CLN-OVEREXP,clean,screen-100-brightness-100,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.0024597644805908203,0.0005893707275390625,True
d71de7fb919942afe2964987,STR-CLN-OVEREXP,clean,screen-100-brightness-30,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.0020943880081176758,0.0009033679962158203,True
325a35826a78cee5d66f7a34,STR-CLN-OVEREXP,clean,screen-80-brightness-50,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.0017778277397155762,0.0009406208992004395,True
5add5311c58fb1f58158a0c3,STR-CLN-UNDEREXP,clean,screen-100-brightness-100,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.00122755765914917,0.0017424821853637695,True
c1ab8c4ae745c7c91645b43a,STR-CLN-UNDEREXP,clean,screen-100-brightness-30,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.0016717314720153809,0.0009023547172546387,True
5460d45e97dd09535fe1dddc,STR-CLN-UNDEREXP,clean,screen-80-brightness-50,1,5,5,0,0,5,0,5,0,warning,warning,safe,26.0,0.002561211585998535,0.0010074377059936523,True
79a3eee06b915586197cd95b,STR-TMP-NORMAL,tampered,screen-100-brightness-100,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9992982149124146,0.0003393888473510742,True
4a7223c410c34c5b0f8eb432,STR-TMP-NORMAL,tampered,screen-100-brightness-30,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9990683794021606,0.00054931640625,True
79c28f59a9d9c48c9706ef56,STR-TMP-NORMAL,tampered,screen-80-brightness-50,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9992785453796387,0.0003656744956970215,True
