case_id,category,title,intended_verdict,structural_ground_truth,scan_condition,image_path,image_sha256,payload_sha256,source_exposure,demo_role,independent_evaluation,note
STR-CLN-NORMAL,structural,Structural clean / normal,SAFE,clean,normal,Structural_Cases/STR-CLN-NORMAL.png,a0d6c70393b6d235bcaeec41e237817ea01e2642650b43ca4acff255efb62b23,30a0bcfaf2f1c9cb8d306f8666bcf5eb66cc6e53cb64d6945945a3470afdcaf6,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-ANGLE,structural,Structural clean / angle,SAFE,clean,angle,Structural_Cases/STR-CLN-ANGLE.png,04533d0118974e924c50a0f55dde6c405dfecd546ba8d95a275303a37f072365,fe74318790fb43bdb962642baf173c7508a1ea3d5117d1219b53b8c24f13e490,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-DEFOCUS,structural,Structural clean / defocus,SAFE,clean,defocus,Structural_Cases/STR-CLN-DEFOCUS.png,ca5020237a0864620a730c779e48efcd60bf70e79162db31ed972d3c0cda3760,b75506ea98bbd40a4c3205bd1f5cb4b3f319bf4456c711663ad972cb81da79ef,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-FAR,structural,Structural clean / far,SAFE,clean,far,Structural_Cases/STR-CLN-FAR.png,399a91587da2f07cdb96b6f654151ca8418b7da415656059f358de25041ec5eb,8cd971c588f83afb5783d38e988c9fe3d057828dcb096022ae5ead7a388beb75,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-GLARE,structural,Structural clean / glare,SAFE,clean,glare,Structural_Cases/STR-CLN-GLARE.png,48fa0148d6a0d9f4fade4b104195185311b09e5b84de49687c6b4d4667dc7e36,a8230d8b29604c7f0ad9252c3fa24479eb22398f893f06bfe925afce75e0767f,exact_app_crop/validation; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-MOTION,structural,Structural clean / motion,SAFE,clean,motion,Structural_Cases/STR-CLN-MOTION.png,c281e89e9a93ea1064db5d8f1377ca17467d3b5b03c3d966f5439561c4f08cee,b11e8dadd750005cbc882e1eef8b7daba8cc7feb4d0b319c849e951971223130,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-OVEREXP,structural,Structural clean / overexp,SAFE,clean,overexp,Structural_Cases/STR-CLN-OVEREXP.png,edfdd77e67b83af6a5514ae8894566d54206418511ad9f23cd20f4a649f1aa67,93b70111aa7bbcddef5f354fca04150b0099fec396256e7846fa1e3e149f10ba,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-SCREEN,structural,Structural clean / screen,SAFE,clean,screen,Structural_Cases/STR-CLN-SCREEN.png,3a177d7f2099eef39cba72c42c64f721126b11ca54bbbe5d969619b599d431a1,1e10edf187fd1e52c3fc39625c8432389f6d718989977ccf693e62fecca34725,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-SHADOW,structural,Structural clean / shadow,SAFE,clean,shadow,Structural_Cases/STR-CLN-SHADOW.png,4123e1095f338df365a8c7cc82b99d9ebd4b9697857fbe8ef9004dc5db1b43ad,a5e285e21be8736fe778600595098852594257833664bbca37e93afe95a9f0d4,exact_app_crop/train; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-CLN-UNDEREXP,structural,Structural clean / underexp,SAFE,clean,underexp,Structural_Cases/STR-CLN-UNDEREXP.png,682688c769618b1f4376448be2dd6d813c981a5ce3a2a718fe16532f787e0979,2a20e566d4c519deb3c7274ca7e999354fc1ee864fb7b55712d034c7164c96ff,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-NORMAL,structural,Structural adversarial / normal,BLOCKED,adversarial,normal,Structural_Cases/STR-ADV-NORMAL.png,36ea0ca4243b7558d6ba30b79b4ee79af14bc5bffcb73bef72346a05b96409d4,802a272718df6ab5b00a465af65a8233b51c513397108f8025bd965c0559b4fc,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-ANGLE,structural,Structural adversarial / angle,BLOCKED,adversarial,angle,Structural_Cases/STR-ADV-ANGLE.png,8e51fdd6de5e5a86ced390ad0b27c3b638ef7f55f48e5f57d4e2adebd7042dfb,0f6774aefbfe9c56365f9cf309f0688af61b62ec924e012f7179d2c8f6eb5d48,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-DEFOCUS,structural,Structural adversarial / defocus,BLOCKED,adversarial,defocus,Structural_Cases/STR-ADV-DEFOCUS.png,ad001faa536bc923ddd721f67b8b30d8a233ac66e7a4df7cdb5b0a37443570dd,78a38748df981c24e7e29eeae068c85d47fe8be9f276d3424da99c14119553c3,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-FAR,structural,Structural adversarial / far,BLOCKED,adversarial,far,Structural_Cases/STR-ADV-FAR.png,508542e97998436987922f43acc1712f8ff76c5da0c32f8d296ad30b13e17050,4884258c92ade3055d75e5713bbf654614ca5266d470747cdfae746c80b567cf,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-GLARE,structural,Structural adversarial / glare,BLOCKED,adversarial,glare,Structural_Cases/STR-ADV-GLARE.png,3208dd1eb99a1bf02c50c9f0b230c3cf47ad2590b9fe9ce9efee2e41fb1cfc25,421e011c4ac969279b34408852038f4c42af53de18fa29017f4dfa5d0eaf5a04,exact_app_crop/validation; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-MOTION,structural,Structural adversarial / motion,BLOCKED,adversarial,motion,Structural_Cases/STR-ADV-MOTION.png,f8177c392943199e74c1d7262582113857ef0234e61b2a2b0292766f64016095,b33d93e9217863d0df0431dccda188724c33937bae82313cebb96a8c4ee17271,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-OVEREXP,structural,Structural adversarial / overexp,BLOCKED,adversarial,overexp,Structural_Cases/STR-ADV-OVEREXP.png,75beb09d3e5fde96cc0ebfff00545795a249642cd89ee4b9d53d883655ea066d,beacbb734e179aa3df36367e5c89b38a411bc5571acf5322f904d18f96a26463,exact_app_crop/validation; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-SCREEN,structural,Structural adversarial / screen,BLOCKED,adversarial,screen,Structural_Cases/STR-ADV-SCREEN.png,ddda57903a201808fa021cab2f53aeaede95d3f4820717774e504c0642e4c2da,412a872ed01cbac8ab9816d78ff0c0d155dc5aa8ca5c4af0fd861de0f28baea6,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-SHADOW,structural,Structural adversarial / shadow,BLOCKED,adversarial,shadow,Structural_Cases/STR-ADV-SHADOW.png,74eeeaddfe9563ef70d438b5df143cebf31eebaba60c779e6d7cdbc0739c3677,c9607f4437b5fe6a5d6313fc8d990605ea7b30113028af77081538043d3807df,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-ADV-UNDEREXP,structural,Structural adversarial / underexp,BLOCKED,adversarial,underexp,Structural_Cases/STR-ADV-UNDEREXP.png,7666055b4122b842acdefc217756f4b620767b181e94b810b1325f91aa2c35c4,6e3d24121978c03048d4ae1488624ddb8dcde41d9e7d0136873ad25d7537c2fe,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-NORMAL,structural,Structural tampered / normal,BLOCKED,tampered,normal,Structural_Cases/STR-TMP-NORMAL.png,084b9a03305622c311e3587d0a5cd386400de6ee9e605c6889fcbd78db365c33,7a2ad17a52e34ee4d9e5c7f494e9dbdb328d7bb42a4d6b11b1142cd913586513,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-ANGLE,structural,Structural tampered / angle,BLOCKED,tampered,angle,Structural_Cases/STR-TMP-ANGLE.png,257efd52a0e9aac75335fc373b67b34e21fc9ab52d0436c1362d04092b9c84b9,30cdcbb0dc77a6acd9c34dd61fc43c1e8b151c5819347034106f9240a1a404f8,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-DEFOCUS,structural,Structural tampered / defocus,BLOCKED,tampered,defocus,Structural_Cases/STR-TMP-DEFOCUS.png,be581696cdccaa8ec96580c9080f3f30994a4b236748efa28dd433c6a4ad08df,39db39c9a6a500be1655194d22f3ff1529c3527a19d78206831108adde18e865,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-FAR,structural,Structural tampered / far,BLOCKED,tampered,far,Structural_Cases/STR-TMP-FAR.png,5c95f84ded0b202ec64a1a294acd14b9d04dc12a90d40b88a78a1a657454d70f,ac827ddc23e48f85f89ca23e682f25f3eccf3b1f1f13b4c911c6f71884731141,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-GLARE,structural,Structural tampered / glare,BLOCKED,tampered,glare,Structural_Cases/STR-TMP-GLARE.png,d7eee8da3bff726156c24b815fad09c1775ac3e671671fb4423635b975cd154a,92768deea4dc76e7f4751a904d4faac9603e15c61f426fcf49e0f3e88ee23903,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-MOTION,structural,Structural tampered / motion,BLOCKED,tampered,motion,Structural_Cases/STR-TMP-MOTION.png,38d7e0d3cf727632011870f22ee1dab66c75ff648663d651864a52edf5414653,5ad72acfdf0569fea369fb63d9291861f254e851c8a505d9b3191394a925014e,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-OVEREXP,structural,Structural tampered / overexp,BLOCKED,tampered,overexp,Structural_Cases/STR-TMP-OVEREXP.png,bea594f9d4982a0adeead3e3450b9e5c6f9b0c9f8e64e8b0b92deac79487a783,5fd642e0ccde11cdab3bc2031d373b156b4c143c12c4d39f1093300561752ac6,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-SCREEN,structural,Structural tampered / screen,BLOCKED,tampered,screen,Structural_Cases/STR-TMP-SCREEN.png,d65ab8915a0938cc9104d5b0cce5acab5e9226f7301d4cde39064161c31c6ed5,e90d007fe51a244a9b866a8a7af66bdbfd1e061b0a74acc9227eb8189e7e7e9e,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
