order,case_id,image_path,purpose
1,STR-CLN-NORMAL,Structural_Cases/STR-CLN-NORMAL.png,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
2,SEM-01-SAFE-HTTPS,Semantic_and_Payload_Cases/SEM-01-SAFE-HTTPS.png,Clean image and reserved safe demonstration URL.
3,SEM-02-BRAND-PHISH,Semantic_and_Payload_Cases/SEM-02-BRAND-PHISH.png,Clean QR; Semantic branch must identify phishing-style URL risk.
4,STR-ADV-NORMAL,Structural_Cases/STR-ADV-NORMAL.png,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
5,STR-TMP-NORMAL,Structural_Cases/STR-TMP-NORMAL.png,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
6,SEM-03-RAW-IP,Semantic_and_Payload_Cases/SEM-03-RAW-IP.png,Documentation-only IP range; no live destination.
7,SEM-04-PUNYCODE,Semantic_and_Payload_Cases/SEM-04-PUNYCODE.png,Reserved invalid domain containing an IDN/punycode look-alike.
8,SEM-05-USERINFO,Semantic_and_Payload_Cases/SEM-05-USERINFO.png,The real host follows the @ character.
9,SEM-09-WIFI-OPEN,Semantic_and_Payload_Cases/SEM-09-WIFI-OPEN.png,Non-URL payload with an open-network warning floor.
10,SEM-11-PLAIN-TEXT,Semantic_and_Payload_Cases/SEM-11-PLAIN-TEXT.png,Harmless non-URL text; URL analysis is correctly not applicable.
11,STR-CLN-GLARE,Structural_Cases/STR-CLN-GLARE.png,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
12,STR-CLN-ANGLE,Structural_Cases/STR-CLN-ANGLE.png,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
