session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
c18269966e58d9ef11a2f5ff,R7B-01-BF8A9F,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9989945888519287,0.0008249878883361816,True
ef104fb5207b45458b91fea0,R7B-02-5A41E4,clean,screen-80,1,5,5,4,4,1,0,5,0,warning,safe,safe,1.0,0.0026425719261169434,0.002630770206451416,True
2d4c95e7762924eccefedb5b,R7B-03-1FA25B,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9898755550384521,0.007812321186065674,True
2ce8a8ea50a535458c06e4de,R7B-04-F9409B,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9968694448471069,0.002583026885986328,True
e56992f8f7ce1db2debb9c22,R7B-05-2EA7CF,adversarial,screen-80,1,5,5,3,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9976518154144287,0.002322852611541748,True
5fb5f4fb62a6621e73552f21,R7B-06-4F0FC4,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9985625147819519,0.006650745868682861,True
a223bb3c0bc1b96ea7e37c7d,R7B-07-B1579A,clean,screen-80,1,5,5,5,4,0,1,4,1,safe,safe,safe,3.0,0.17163002490997314,0.7677078247070312,True
4196057098f61ca6d97ab5d6,R7B-08-551C47,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9956840872764587,0.004092693328857422,True
bd79f4d1b3b8d29dc059f4eb,R7B-09-1C14A9,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.010044574737548828,0.02018570899963379,True
877e6a6c79fbe3b9a7531371,R7B-10-683AF9,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9969835877418518,0.003625929355621338,True
ab6f8498ab9680ed00841551,R7B-11-A11129,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,89.0,0.994711697101593,0.0025199055671691895,True
a1739cec84d8b35f40226001,R7B-12-473F6A,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.005565822124481201,0.007942020893096924,True
dfa5039ad497a9ad14ca5b32,R7B-13-C0F52D,clean,screen-80,1,5,5,1,1,4,0,5,0,safe,warning,safe,26.0,0.0032234787940979004,0.0032140016555786133,True
87dd8966cd36863f3a80f6ec,R7B-14-5F3509,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9968568086624146,0.006288707256317139,True
1b0ff51345c37ae2d54f7004,R7B-15-185A0D,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.005879461765289307,0.006912589073181152,True
a0b0184eff6348cdd600fe7e,R7B-16-B36FE9,adversarial,screen-80,1,5,5,1,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9922256469726562,0.00805741548538208,True
4ab95df9a48894c7c201bb7b,R7B-17-C4A596,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.013990819454193115,0.044824302196502686,True
976520d4568ef9af6894f947,R7B-18-E9CFED,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,88.0,0.9728944897651672,0.01987665891647339,True
afb646b2574fe4f7e05ce8ce,R7B-19-D8F6DF,adversarial,screen-80,1,5,5,1,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9985694885253906,0.004662871360778809,True
3e281da2bac987017fc328ea,R7B-20-EA4843,tampered,screen-80,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9980502128601074,0.0022655129432678223,True
99034c3d2a6ab713c15f1fc9,R7B-21-F5A9DA,adversarial,screen-80,1,5,5,2,0,0,5,0,5,blocked,blocked,blocked,88.0,0.9776650071144104,0.1670602560043335,True
376d8519e33b9c50e2a1d521,R7B-22-03D724,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9989269375801086,0.0009614825248718262,True
2735d5dc1b262224af149efe,R7B-23-1C1B30,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9993444681167603,0.0003718137741088867,True
2ace16b9fcbdf08fa78938e2,R7B-24-90D5AF,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.11831903457641602,0.20929759740829468,True
