session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
bac432e4a94f2498d7c1f22d,ACQ-CLN-V10-LONG,clean,screen-100-brightness-100,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.00887972116470337,0.006366372108459473,True
7ff73f637adfb95e27cef952,ACQ-CLN-V10-LONG,clean,screen-100-brightness-30,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.009667456150054932,0.01515287160873413,True
cf354e76f50c01037f29eb39,ACQ-CLN-V10-LONG,clean,screen-80-brightness-50,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.006891489028930664,0.005925416946411133,True
9d08142c58baad4e6e56b221,ACQ-CLN-V14-LONG,clean,screen-100-brightness-100,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.04519850015640259,0.06706750392913818,True
5513973a67f721dcc4444595,ACQ-CLN-V14-LONG,clean,screen-100-brightness-30,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.027824580669403076,0.026469945907592773,True
4557a7d4ca821149d4e8cf00,ACQ-CLN-V14-LONG,clean,screen-80-brightness-50,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.021453917026519775,0.021368086338043213,True
aa6c2d50e262633f0bf139f7,SEM-05-USERINFO,clean,screen-100-brightness-100,1,5,5,5,0,0,5,5,0,blocked,blocked,blocked,85.0,0.0555340051651001,0.05745154619216919,True
8f395c5d4d608380c4ffe623,SEM-05-USERINFO,clean,screen-100-brightness-30,1,5,5,1,4,0,1,5,0,blocked,safe,safe,4.0,0.20666134357452393,0.3921923041343689,True
9aeb437c63e35d33c0a0d6c5,SEM-05-USERINFO,clean,screen-80-brightness-50,1,5,4,3,2,0,3,4,0,safe,blocked,blocked,82.0,0.08129441738128662,0.2411179542541504,True
629ddc44367e44cabaf6577d,SEM-11-PLAIN-TEXT,clean,screen-100-brightness-100,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.014669418334960938,0.04840463399887085,True
b453a5dd57e26c807cd3332f,SEM-11-PLAIN-TEXT,clean,screen-100-brightness-30,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.06085127592086792,0.0966373085975647,True
b31e97bef97de787a96d3f59,SEM-11-PLAIN-TEXT,clean,screen-80-brightness-50,1,5,5,4,5,0,0,5,0,safe,safe,safe,1.0,0.009924709796905518,0.01950514316558838,True
0658dbec35216a4100f0ffe9,STR-ADV-NORMAL,adversarial,screen-100-brightness-100,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9861713647842407,0.02507185935974121,True
1f365a8072b9272580ccc0e8,STR-ADV-NORMAL,adversarial,screen-100-brightness-30,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9851574301719666,0.01681143045425415,True
bfdf9b03f8c623fa7fe87c23,STR-ADV-NORMAL,adversarial,screen-80-brightness-50,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9871835708618164,0.01116567850112915,True
bba015a905fa3e4ee4e0d0f9,STR-CLN-OVEREXP,clean,screen-100-brightness-100,1,5,5,0,4,0,1,4,1,safe,safe,safe,10.0,0.35941004753112793,0.6636049151420593,True
d71de7fb919942afe2964987,STR-CLN-OVEREXP,clean,screen-100-brightness-30,1,5,4,0,0,1,4,0,4,warning,blocked,blocked,87.0,0.9637623131275177,0.05660444498062134,False
325a35826a78cee5d66f7a34,STR-CLN-OVEREXP,clean,screen-80-brightness-50,1,5,3,0,1,2,2,1,2,blocked,blocked,safe,26.0,0.7099192142486572,0.22775328159332275,False
5add5311c58fb1f58158a0c3,STR-CLN-UNDEREXP,clean,screen-100-brightness-100,1,5,5,0,2,0,3,2,3,blocked,blocked,blocked,78.0,0.868765652179718,0.9119934439659119,False
c1ab8c4ae745c7c91645b43a,STR-CLN-UNDEREXP,clean,screen-100-brightness-30,1,5,4,0,4,1,0,4,0,warning,safe,safe,8.0,0.1969895362854004,0.3578903079032898,True
5460d45e97dd09535fe1dddc,STR-CLN-UNDEREXP,clean,screen-80-brightness-50,1,5,5,0,5,0,0,5,0,safe,safe,safe,3.0,0.20032012462615967,0.3055063486099243,True
79a3eee06b915586197cd95b,STR-TMP-NORMAL,tampered,screen-100-brightness-100,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9976018667221069,0.0015395283699035645,True
4a7223c410c34c5b0f8eb432,STR-TMP-NORMAL,tampered,screen-100-brightness-30,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.997601330280304,0.0012469291687011719,True
79c28f59a9d9c48c9706ef56,STR-TMP-NORMAL,tampered,screen-80-brightness-50,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9973329901695251,0.0016994476318359375,True
