session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
34789d100f27a7c93f9269e3,BLD-01-634AD9,clean,screen-80,1,5,3,3,3,475,481,median_score_majority_class,usable,normal,0.006726264953613281,0.006726264953613281,clean,safe,correct,814
8c5eb98d9c38008a7297feb6,BLD-02-2660E2,adversarial,screen-80,1,5,3,3,3,462,470,median_score_majority_class,usable,normal,0.023078501224517822,0.023078501224517822,clean,safe,false_safe,143
1f17da6538406a57d13af304,BLD-03-940C9F,adversarial,screen-80,1,5,3,3,3,395,398,median_score_majority_class,usable,normal,0.20412981510162354,0.20412981510162354,clean,safe,false_safe,130
f0646d7c9e860ae8e4160328,BLD-04-A543A7,tampered,screen-80,1,5,3,3,3,373,376,median_score_majority_class,usable,normal,0.9983347654342651,0.9983347654342651,tampered,blocked,correct,169
28d61a8069a4ea5283c11cfe,BLD-05-B2EB90,adversarial,screen-80,1,5,3,3,3,459,460,median_score_majority_class,usable,normal,0.7294275760650635,0.7294275760650635,adversarial,blocked,correct,366
b0eb1f6eab67ae8ba32b7fd2,BLD-06-48D796,tampered,screen-80,1,5,3,3,3,470,474,median_score_majority_class,usable,normal,0.9998852610588074,0.9998852610588074,tampered,blocked,correct,207
2b7a8f02205026bba95dbbe1,BLD-07-1F1497,tampered,screen-80,1,5,3,3,3,479,480,median_score_majority_class,usable,normal,0.9996070861816406,0.9996070861816406,tampered,blocked,correct,388
46ef8df6409e6332c4e6bf3a,BLD-08-8DD40A,tampered,screen-80,1,5,3,3,3,438,448,median_score_majority_class,usable,normal,0.999907374382019,0.999907374382019,tampered,blocked,correct,128
a1584498f29201f176a44971,BLD-09-EB4682,adversarial,screen-80,1,5,3,3,3,450,453,median_score_majority_class,usable,normal,0.04915189743041992,0.04915189743041992,clean,safe,false_safe,192
2f37e6435eaf14f0b5305551,BLD-10-F817CE,adversarial,screen-80,1,5,3,3,3,426,428,median_score_majority_class,usable,normal,0.9983906745910645,0.9983906745910645,adversarial,blocked,correct,128
